carat,cut,color,clarity,table,x,y,z,price_new
1.11,Ideal,G,VS2,56,6.65,6.68,4.08,3428.5
1.02,Ideal,G,VS1,58,6.4,6.45,3.99,3428.5
1.19,Ideal,D,SI1,57,6.77,6.82,4.21,3428.5
1.31,Good,H,SI1,62,7.18,7.25,4.18,3428.5
1.72,Premium,J,SI1,56,7.76,7.7,4.79,3428.5
1.27,Ideal,H,SI1,58,7.02,7.05,4.23,3429
1.12,Ideal,F,VS2,55,6.73,6.67,4.08,3429
1,Ideal,E,VS2,54,6.41,6.46,3.97,3429.5
1.35,Very Good,E,SI1,57,7.01,7.05,4.41,3430
2.32,Fair,H,I1,55,7.93,7.9,5.58,3430
1,Premium,E,VS2,62,6.47,6.44,3.99,3430
1.21,Good,E,SI1,58,6.65,6.77,4.27,3430.5
1.02,Very Good,G,VS1,58,6.42,6.38,4.05,3430.5
1.11,Premium,F,VS2,59,6.58,6.62,4.14,3431.5
1.06,Very Good,G,VS1,56,6.47,6.51,4.09,3431.5
1.02,Very Good,D,SI1,56,6.55,6.57,3.96,3431.5
1.02,Fair,F,VVS2,58,6.22,6.28,4.05,3431.5
1.03,Ideal,G,VS1,56,6.5,6.46,4.04,3432
1.05,Very Good,E,VS2,57,6.44,6.56,4.04,3432.5
1,Very Good,G,VS1,59,6.52,6.54,3.88,3433.5
1.18,Very Good,I,IF,58,6.69,6.73,4.25,3433.5
1.24,Ideal,H,SI1,54,6.88,6.9,4.29,3433.5
1,Premium,D,VS2,60,6.57,6.52,3.9,3434
1.2,Very Good,H,VS2,59,6.76,6.72,4.21,3435
2.72,Fair,J,I1,56,8.46,8.43,5.76,3435
1.21,Good,H,VS1,65,6.88,6.84,4.08,3435.5
1,Ideal,E,VS2,55,6.4,6.36,4.01,3435.5
1.21,Very Good,H,VS1,58,6.77,6.72,4.27,3435.5
1,Ideal,E,VS2,56,6.46,6.41,3.99,3435.5
0.9,Very Good,D,VVS2,59,6.11,6.15,3.84,3436
1.2,Very Good,F,SI1,57,6.65,6.74,4.25,3436
1.09,Ideal,F,SI1,56,6.63,6.66,4.08,3436
1.31,Ideal,I,VS2,55,7,7.1,4.35,3436.5
1.26,Good,G,SI1,61,6.81,6.87,4.32,3437
1.24,Premium,F,SI1,59,6.86,6.9,4.24,3437
1.24,Premium,E,SI1,59,7.07,6.99,4.2,3437.5
1,Very Good,E,VS2,58,6.49,6.53,3.84,3437.5
1.21,Ideal,H,SI1,54,6.8,6.86,4.25,3438
1.29,Premium,I,VS1,57,6.99,6.89,4.37,3438.5
1,Very Good,D,VS2,56,6.33,6.39,3.98,3440.5
1.01,Premium,G,VS1,56,6.53,6.46,4.01,3441
1.01,Good,G,VS1,57,6.38,6.35,4.06,3441
1.01,Premium,G,VS1,58,6.47,6.43,3.93,3441
1,Very Good,F,VS1,60,6.33,6.42,3.96,3441.5
1.35,Very Good,I,VS2,59,7.05,7.09,4.36,3442
1.08,Ideal,F,SI1,55,6.58,6.63,4.08,3442
1.31,Very Good,I,VS1,58,6.99,7.03,4.37,3442.5
1.07,Premium,F,VS1,61,6.62,6.56,3.99,3442.5
1.21,Ideal,E,SI1,56,6.83,6.76,4.21,3443.5
1.21,Very Good,H,VS2,57,6.88,6.97,4.16,3443.5
1.83,Fair,H,I1,57,7.47,7.44,5.07,3443.5
1.22,Ideal,I,VS1,54,6.83,6.79,4.29,3443.5
1.22,Ideal,I,VS1,57,6.8,6.76,4.24,3443.5
1.22,Premium,F,SI1,59,6.86,6.83,4.23,3443.5
1.23,Premium,G,SI1,59,6.88,6.81,4.19,3444
1.5,Premium,I,SI1,58,7.33,7.22,4.53,3444
0.97,Very Good,F,VVS2,60,6.49,6.53,3.78,3444.5
1.41,Ideal,J,SI1,55,7.18,7.21,4.48,3444.5
1.06,Ideal,G,VS2,54,6.54,6.58,4.06,3445
1.04,Premium,G,VVS1,60,6.71,6.66,3.89,3445
1.55,Premium,J,SI2,57,7.37,7.32,4.6,3445
1.13,Ideal,G,VS2,56,6.61,6.65,4.16,3445.5
0.9,Very Good,E,VVS2,57,6.1,6.12,3.89,3446
1.21,Very Good,H,SI1,58,6.91,6.96,4.19,3446
1.27,Premium,H,SI1,58,7.04,6.99,4.22,3446
1.42,Very Good,I,VS1,65,7.28,7.2,4.35,3447
1.24,Ideal,G,SI1,56.4,6.93,6.99,4.25,3447.5
1.16,Ideal,E,SI1,57,6.72,6.76,4.17,3448
1.52,Good,J,SI1,60,7.21,7.25,4.6,3448.5
1.6,Premium,F,SI2,57,7.51,7.46,4.63,3449.5
1,Premium,F,VS2,58,6.45,6.36,3.89,3449.5
1.01,Premium,F,VS2,61,6.59,6.55,3.89,3450
1.55,Ideal,E,SI2,55,7.44,7.37,4.61,3450.5
1.03,Ideal,F,VS2,57,6.4,6.48,3.99,3451
1.07,Premium,G,VS2,58,6.55,6.54,4.05,3451.5
1.34,Ideal,H,SI2,56,7.1,7.05,4.36,3452
1.01,Very Good,D,VS2,61,6.37,6.43,3.98,3452.5
1.01,Very Good,D,VS2,58,6.47,6.57,3.94,3452.5
1.01,Very Good,G,VS1,57,6.3,6.35,4.02,3452.5
1.09,Ideal,G,VS2,54,6.61,6.65,4.11,3452.5
1.52,Fair,I,SI2,58,7.19,7.22,4.66,3452.5
1.02,Very Good,G,VS2,60,6.53,6.49,3.94,3453
1.09,Premium,G,VS2,59,6.6,6.65,4.04,3453
1.21,Good,G,VS2,59,6.59,6.67,4.22,3453
1.04,Premium,F,VS2,59,6.49,6.45,3.99,3453
1.01,Ideal,F,SI1,56,6.41,6.46,3.99,3453.5
1.04,Premium,F,VS2,58,6.55,6.51,4.04,3454
1.02,Premium,D,VS2,61,6.61,6.54,3.93,3454.5
1.23,Premium,G,SI1,59,6.84,6.77,4.25,3454.5
1.02,Very Good,D,VS2,54,6.38,6.33,4.03,3454.5
1,Very Good,F,VS1,63,6.42,6.45,3.87,3455
1.02,Very Good,F,VS2,57,6.36,6.41,4.01,3455.5
1.19,Ideal,E,SI1,57,6.81,6.83,4.18,3455.5
1.01,Good,D,VS2,59,6.28,6.35,3.9,3456
1.65,Premium,G,I1,59,7.57,7.53,4.68,3456
1.03,Ideal,G,VS1,54.8,6.46,6.5,4.02,3456.5
1.05,Ideal,G,VS2,59,6.62,6.65,3.94,3457
1.51,Very Good,I,SI2,58,7.31,7.27,4.61,3457
1.02,Very Good,E,VS2,59,6.54,6.59,3.94,3457.5
1.04,Very Good,D,VS1,58,6.5,6.53,3.96,3457.5
1.61,Very Good,G,SI2,55,7.47,7.35,4.7,3457.5
1.26,Premium,F,SI1,58,6.89,6.84,4.28,3457.5
1.31,Very Good,I,VS2,58,7.01,7.05,4.3,3458.5
1.07,Ideal,G,VS1,57,6.58,6.52,4.05,3458.5
1.15,Premium,H,VVS2,58,6.9,6.87,4.05,3458.5
1.12,Ideal,G,VS1,57,6.59,6.64,4.12,3459
1.29,Ideal,J,VVS1,56,7.01,7.05,4.3,3459
1.31,Premium,I,VS2,61,6.98,6.9,4.33,3460.5
1.31,Premium,I,VS2,58,7.15,7.11,4.28,3460.5
1.26,Ideal,F,SI1,56,7.05,6.98,4.25,3461
1.5,Fair,E,SI2,55,7.26,7.15,4.67,3461
1.03,Ideal,F,VS2,56,6.52,6.49,4.05,3461
1.03,Premium,E,VS2,61,6.42,6.36,4.02,3461
1.03,Ideal,F,VS2,54,6.56,6.51,4,3461
1.01,Premium,F,VS2,57,6.51,6.45,3.98,3461.5
1.12,Very Good,F,VS2,58,6.63,6.69,4.13,3462.5
1.12,Good,F,VS2,57,6.59,6.61,4.21,3462.5
1.14,Ideal,H,VS1,53,6.73,6.75,4.17,3463
1,Very Good,F,VS2,58,6.41,6.49,3.99,3463.5
1.73,Ideal,J,SI1,57,7.69,7.65,4.8,3463.5
1.3,Ideal,G,VS1,56,7.03,6.95,4.36,3464
1.15,Very Good,E,VS2,56,6.65,6.68,4.19,3464.5
1.05,Premium,E,VS2,58,6.5,6.54,4.05,3465
1.03,Very Good,G,VS2,58,6.5,6.54,3.98,3465.5
1.08,Ideal,G,VS2,55,6.57,6.63,4.08,3465.5
1.3,Premium,I,VS1,59,6.97,6.91,4.32,3465.5
1.3,Ideal,I,VS1,57,7.04,6.98,4.35,3465.5
1.22,Premium,F,SI1,59,6.78,6.83,4.25,3466
1.01,Premium,G,VS1,58,6.49,6.52,3.95,3466
1.01,Good,F,VVS2,60,6.31,6.36,4.03,3466
1.05,Ideal,F,VS2,57,6.48,6.45,4.06,3466.5
1.09,Ideal,G,VS1,57,6.55,6.63,4.11,3467
1.22,Premium,H,VS2,58,6.84,6.79,4.25,3467
1.51,Ideal,D,SI2,56,7.4,7.36,4.52,3467
1.29,Premium,D,SI2,62,7.06,6.99,4.17,3467.5
1.51,Good,J,VS2,58,7.24,7.27,4.64,3468
1.05,Ideal,G,VS1,56,6.47,6.53,4.03,3468
1.05,Premium,G,VS1,58,6.48,6.51,4,3468
1.01,Very Good,G,VS1,57,6.32,6.39,4.01,3468
1.28,Premium,D,SI2,58,7.09,6.96,4.3,3468
1,Very Good,D,VS2,60,6.4,6.42,3.92,3468.5
1.19,Good,E,VS2,60,6.9,7,3.99,3468.5
1.01,Ideal,G,VS2,54,6.43,6.47,4.04,3468.5
1.1,Ideal,G,VS2,56,6.68,6.79,4.1,3469.5
1.51,Very Good,J,SI1,59,7.25,7.29,4.57,3471
1.15,Premium,D,SI1,57,6.69,6.64,4.2,3471
1.01,Very Good,F,VS2,59,6.51,6.54,3.95,3472
1.25,Ideal,H,VS2,56,7.04,6.99,4.21,3472
1.19,Premium,H,VS2,58,6.83,6.78,4.16,3472
1.06,Ideal,I,VVS1,57,6.62,6.66,4,3472.5
1.28,Premium,H,SI1,58,7,6.94,4.34,3473
1.06,Premium,F,VS2,57,6.58,6.53,4.08,3473.5
1.22,Ideal,H,VS2,57,6.89,6.85,4.22,3473.5
1.1,Very Good,G,VS1,62,6.72,6.67,4.04,3475.5
0.95,Ideal,G,IF,59,6.36,6.43,3.82,3475.5
1.09,Premium,G,VS1,59,6.57,6.54,4.1,3475.5
1.01,Ideal,G,VS1,56,6.4,6.35,4,3475.5
1.01,Ideal,G,VS1,58,6.43,6.39,4,3475.5
1.11,Very Good,G,VS2,57,6.55,6.6,4.09,3476.5
1.16,Ideal,H,VS2,57,6.7,6.73,4.17,3477
1.2,Very Good,F,SI1,58,6.63,6.57,4.18,3477.5
1.04,Ideal,G,VS2,57,6.56,6.62,3.99,3477.5
1.15,Premium,G,VS2,58,6.7,6.62,4.19,3477.5
1.01,Very Good,E,VS2,59,6.35,6.39,3.99,3478
1.2,Ideal,H,VS2,55,6.76,6.85,4.23,3478
1.01,Ideal,E,VS2,57,6.44,6.5,3.97,3478
1,Very Good,F,VS2,57,6.29,6.35,3.97,3478.5
1.23,Premium,H,VS2,61,6.85,6.8,4.26,3478.5
1.21,Ideal,G,SI1,57,6.79,6.83,4.23,3479
1,Good,E,VS2,60,6.52,6.54,3.8,3479
1.24,Ideal,H,SI1,57,6.92,6.84,4.24,3479
1.18,Ideal,G,SI1,56,6.76,6.79,4.2,3480
1.35,Very Good,I,VS2,62,6.97,7.05,4.35,3480.5
1.08,Ideal,H,VVS1,54,6.56,6.58,4.1,3480.5
1.72,Very Good,F,I1,59,7.71,7.8,4.69,3481
1.12,Ideal,H,SI1,56,6.64,6.68,4.11,3481
1.11,Ideal,H,VVS2,57,6.67,6.63,4.08,3481
1.24,Premium,H,VS2,59,6.91,6.84,4.24,3481
1.22,Very Good,G,VS2,56,6.82,6.8,4.3,3481
1.11,Premium,D,SI1,58,6.68,6.64,4.13,3481
1.33,Premium,I,VS1,58,7.02,7.06,4.33,3481.5
1.33,Good,I,VS1,56,6.92,6.96,4.42,3481.5
1.33,Premium,E,SI2,58,6.99,7.03,4.38,3481.5
1.21,Premium,E,SI1,58,6.77,6.74,4.21,3481.5
1.01,Ideal,G,VS2,56,6.41,6.44,4.02,3482
1.24,Premium,D,SI2,59,6.91,6.87,4.23,3482.5
1.56,Good,J,VS2,65,7.6,7.62,4.38,3483
1.55,Ideal,J,SI2,54,7.38,7.42,4.61,3483
1.01,Premium,G,VVS2,59,6.59,6.54,4,3484
1.01,Ideal,E,VS2,57,6.49,6.46,3.97,3484
1.02,Ideal,G,VS1,55,6.4,6.53,4.01,3484
1.2,Ideal,H,SI1,56,6.92,6.87,4.21,3484
1.01,Very Good,G,VVS2,55,6.41,6.34,4.04,3484
1.01,Good,E,VS2,59,6.34,6.31,4.04,3484
1.73,Premium,H,SI2,60,7.79,7.71,4.69,3484
1.01,Premium,E,VS2,58,6.41,6.36,3.97,3484
1.22,Premium,G,SI2,61,6.79,6.79,4.23,3484.5
1.39,Good,F,SI2,55,7.05,7.08,4.51,3484.5
0.32,Ideal,D,SI2,55,4.4,4.38,2.71,306
0.32,Ideal,D,SI2,57,4.5,4.47,2.67,306
0.32,Good,D,SI2,58,4.33,4.31,2.76,306
0.32,Premium,G,SI1,56,4.36,4.34,2.73,306
0.34,Premium,I,VS2,57,4.48,4.44,2.77,306
0.34,Premium,I,VS2,58,4.51,4.48,2.78,306
0.34,Premium,H,SI1,58,4.52,4.48,2.71,306
0.34,Premium,H,SI1,59,4.5,4.46,2.78,306
0.34,Ideal,E,SI2,57,4.5,4.47,2.8,306
0.34,Premium,E,SI2,59,4.57,4.55,2.73,306
0.34,Premium,E,SI2,58,4.54,4.5,2.79,306
0.34,Premium,E,SI2,58,4.52,4.49,2.77,306
0.34,Premium,E,SI2,59,4.46,4.42,2.77,306
0.34,Premium,E,SI2,59,4.46,4.43,2.78,306
0.34,Good,E,SI2,55,4.46,4.43,2.83,306
0.34,Ideal,E,SI2,56,4.48,4.45,2.81,306
0.32,Premium,G,SI1,58,4.43,4.4,2.76,306
0.32,Premium,G,SI1,58,4.44,4.39,2.69,306
0.32,Ideal,G,SI1,57,4.4,4.37,2.69,306
0.32,Ideal,G,SI1,55,4.38,4.35,2.73,306
0.32,Ideal,D,SI2,55,4.42,4.38,2.72,306
0.32,Ideal,D,SI2,56,4.41,4.39,2.69,306
0.32,Ideal,D,SI2,57,4.46,4.4,2.65,306
0.32,Good,D,SI2,56,4.34,4.33,2.76,306
0.32,Ideal,D,SI2,57,4.38,4.35,2.74,306
0.32,Ideal,D,SI2,54,4.4,4.38,2.74,306
0.32,Ideal,D,SI2,56,4.4,4.38,2.75,306
0.34,Premium,E,SI1,58,4.59,4.55,2.71,306
0.32,Ideal,G,SI1,57,4.41,4.38,2.7,306
0.32,Ideal,G,SI1,57,4.42,4.38,2.71,306
1.2,Good,E,SI1,61,6.61,6.67,4.25,3484.5
1.22,Premium,D,SI2,60,6.88,6.82,4.24,3484.5
1.09,Ideal,H,SI1,56,6.61,6.64,4.07,3485
1.71,Good,F,SI2,54,7.6,7.49,4.81,3485.5
1.56,Premium,F,SI2,58,7.35,7.28,4.66,3485.5
1.1,Ideal,G,VS2,56,6.7,6.74,4.05,3486
1.21,Very Good,H,VS1,55,6.76,6.81,4.3,3486.5
1.2,Very Good,F,SI1,58,6.74,6.72,4.22,3486.5
1.36,Ideal,J,VVS2,56,7.16,7.13,4.42,3486.5
1.02,Very Good,D,VS2,58,6.35,6.44,4.01,3487
1.03,Premium,D,VS1,61,6.62,6.57,3.93,3487
1.21,Premium,H,VS2,60,6.99,6.93,4.13,3487
1.01,Very Good,G,VVS2,57,6.29,6.36,4.01,3487.5
1.51,Premium,J,SI1,62,7.36,7.32,4.49,3488
1.51,Very Good,J,SI1,58,7.29,7.24,4.61,3488
1.51,Fair,J,SI1,60,7.31,7.18,4.59,3488
1.5,Premium,H,SI2,61,7.34,7.27,4.47,3489.5
1.45,Very Good,J,VS2,58,7.28,7.16,4.52,3490
1.13,Ideal,I,VS1,55,6.67,6.7,4.14,3490
1.13,Ideal,I,VS1,57,6.66,6.7,4.13,3490
1.05,Ideal,G,VS2,59,6.51,6.54,4.02,3490.5
1.03,Ideal,G,VS2,57,6.51,6.54,4,3490.5
1.06,Ideal,D,VS2,54,6.6,6.53,4.1,3490.5
1.52,Good,J,VS2,61,7.19,7.23,4.55,3491
1.08,Premium,G,VS1,55,6.6,6.53,4.13,3491
1.08,Premium,G,VS1,56,6.55,6.52,4.1,3491
1.11,Ideal,G,VS2,56,6.68,6.65,4.08,3491
1.1,Ideal,G,VS1,57,6.62,6.65,4.08,3492
1.2,Very Good,F,SI1,58,6.75,6.82,4.2,3492.5
1.5,Very Good,J,SI1,58,7.24,7.29,4.54,3493.5
1.1,Very Good,F,VS2,57,6.65,6.71,4.08,3493.5
1.5,Very Good,J,SI1,58,7.22,7.26,4.54,3493.5
1.29,Premium,H,VS2,57,6.98,6.92,4.34,3493.5
1.41,Premium,D,SI2,56,7.19,7.15,4.38,3494
1,Premium,G,VS1,60,6.36,6.29,3.98,3494.5
1.23,Ideal,I,VVS1,57,6.83,6.9,4.26,3494.5
1,Premium,G,VS1,61,6.57,6.5,3.83,3494.5
1,Ideal,E,VS2,55,6.47,6.44,3.97,3494.5
1.09,Very Good,F,VS2,54,6.66,6.7,4.1,3495
1.58,Premium,F,SI2,60,7.54,7.51,4.57,3495
1.24,Ideal,G,SI1,60,6.97,6.91,4.2,3497
1.01,Very Good,E,VS1,57,6.46,6.38,3.98,3498
1.56,Very Good,J,SI2,63,7.64,7.7,4.47,3498
1.4,Good,H,SI2,57,7.07,7.11,4.43,3498
1.04,Premium,G,VS1,56,6.53,6.46,4.03,3498
1.01,Very Good,E,VS1,58,6.39,6.45,3.99,3498.5
1.23,Very Good,H,SI1,58,6.93,6.96,4.19,3498.5
1.07,Very Good,G,VS1,55,6.6,6.64,4.03,3499
1.01,Good,D,VS2,59,6.28,6.35,3.92,3499
1.31,Ideal,I,VS2,55,7.1,7,4.35,3499.5
1.01,Very Good,F,VS1,58,6.32,6.39,3.99,3499.5
1.01,Ideal,D,VS2,56,6.49,6.52,3.89,3499.5
1.01,Good,F,VS1,60,6.32,6.35,4.01,3499.5
1.01,Premium,F,VS1,58,6.44,6.52,3.97,3499.5
1.01,Good,D,VS2,60,6.35,6.39,4.02,3499.5
1.24,Premium,F,SI1,59,6.9,6.86,4.24,3500
1.26,Very Good,G,SI1,61,6.87,6.81,4.32,3500
1.01,Very Good,D,VS2,56,6.45,6.51,3.93,3500.5
1.01,Very Good,F,VS1,56,6.27,6.33,4.01,3500.5
1.01,Good,F,VVS2,54,6.18,6.27,4.1,3500.5
1.3,Premium,D,SI2,59,7,7.05,4.23,3501
1,Very Good,E,VS1,57,6.43,6.47,3.95,3501
1.21,Ideal,I,VVS2,56,6.8,6.83,4.27,3501
1.06,Very Good,G,VS1,58,6.51,6.56,4.05,3501.5
1.16,Premium,F,VS2,58,6.71,6.65,4.19,3501.5
1.27,Premium,G,SI1,59,6.94,6.98,4.27,3502.5
2.23,Very Good,G,I1,57,8.24,8.2,5.22,3503
0.91,Premium,E,VVS2,61,6.24,6.2,3.8,3503
1.39,Premium,H,VS2,59,7.17,7.1,4.46,3503
1,Good,G,VVS1,60,6.31,6.35,4.04,3503.5
1.05,Very Good,G,VS1,56,6.45,6.51,4.04,3505
1.01,Ideal,E,VS2,57,6.43,6.37,3.96,3506.5
1.01,Ideal,F,VS2,54,6.45,6.49,4,3507
1.04,Ideal,F,VS1,57,6.51,6.56,4.01,3507.5
1.34,Ideal,I,VS1,57,7.02,7.06,4.38,3508
1,Good,F,VVS2,63,6.65,6.62,3.75,3508
1.13,Ideal,G,VS2,56,6.65,6.61,4.16,3508
1.01,Premium,F,VS1,59,6.45,6.41,3.91,3508.5
1.2,Ideal,E,SI2,57,6.8,6.82,4.22,3509
1.51,Premium,H,SI2,62,7.32,7.21,4.51,3509
1.04,Premium,E,VS2,58,6.56,6.51,4.08,3509.5
2.11,Fair,F,I1,57,7.88,7.83,5.31,3509.5
1.01,Very Good,G,VS1,57,6.34,6.36,4.04,3510.5
1.1,Premium,G,VS2,60,6.78,6.72,4.01,3511
1.52,Good,J,SI1,60,7.25,7.21,4.6,3511
1.27,Ideal,E,SI2,57,7,7.02,4.26,3511.5
2.01,Good,H,I1,59,8.01,7.92,5.09,3512
1.05,Premium,F,VS2,58,6.47,6.5,4.06,3512.5
1.28,Ideal,I,VS1,57,7.02,6.98,4.29,3512.5
2.05,Good,G,I1,58,8.46,8.3,4.77,3513
1,Good,D,VS2,61,6.4,6.46,3.9,3513
1.02,Ideal,F,VS2,57,6.46,6.44,4,3513
1.05,Ideal,G,VS1,57,6.51,6.58,4.01,3513.5
1.05,Ideal,G,VS2,57,6.56,6.53,4.04,3514
1.27,Very Good,I,VS1,59,7.04,6.96,4.24,3515.5
1.01,Premium,D,VS2,58,6.57,6.47,3.94,3516
1.01,Premium,D,VS2,61,6.43,6.37,3.98,3516
1.15,Premium,G,VS1,60,6.68,6.6,4.18,3516
1.09,Premium,G,VS2,59,6.65,6.6,4.04,3516
1.51,Premium,J,SI1,58,7.3,7.33,4.56,3517
1.04,Ideal,F,VS2,59,6.59,6.63,3.97,3517.5
1.29,Ideal,H,SI1,55,6.96,7,4.34,3518
1.02,Ideal,F,VS2,57,6.41,6.36,4.01,3518.5
1.01,Very Good,F,VS2,58,6.45,6.51,3.96,3518.5
1.21,Ideal,I,VS1,56,6.83,6.87,4.23,3518.5
1.05,Ideal,G,VS1,56,6.48,6.54,4.07,3518.5
1.32,Ideal,E,SI2,56,7.03,6.97,4.39,3518.5
1.19,Ideal,E,SI1,57,6.83,6.81,4.18,3518.5
1.14,Ideal,I,VS1,56,6.73,6.76,4.12,3519
1.01,Very Good,E,VS1,56,6.38,6.42,3.98,3519.5
1.15,Very Good,H,VS1,56,6.65,6.72,4.18,3520
1.04,Premium,D,VS1,58,6.53,6.5,3.96,3520.5
1.14,Good,G,VS1,58,6.61,6.67,4.21,3521
1.14,Ideal,G,VS2,57,6.68,6.72,4.12,3521
1.25,Ideal,I,VS1,58,6.89,6.93,4.24,3521
1.04,Ideal,G,VS2,57,6.53,6.56,4.01,3522
1.3,Premium,D,SI2,58,6.98,6.91,4.27,3522
1.04,Premium,E,VS2,59,6.54,6.56,4,3523.5
1.21,Good,G,VS2,58,6.74,6.67,4.3,3523.5
1.21,Ideal,H,VS1,57,6.91,6.88,4.17,3523.5
1.04,Good,G,VS1,57,6.4,6.43,4.09,3524.5
1.04,Very Good,G,VS1,58,6.5,6.55,4.03,3524.5
1.24,Very Good,H,SI1,60,6.9,6.94,4.21,3525
1.12,Good,F,VS2,57,6.61,6.59,4.21,3525.5
1.3,Ideal,H,SI1,56,7.03,6.98,4.36,3527
1.11,Premium,G,VS2,58,6.69,6.62,4.09,3527.5
1.09,Ideal,H,VVS1,56,6.64,6.67,4.09,3527.5
1.02,Ideal,G,VS1,57,6.45,6.49,3.98,3527.5
1.26,Premium,H,SI1,57,7.01,6.93,4.27,3528
1.5,Fair,F,SI2,59,7.13,7.05,4.59,3528
1,Premium,F,VS1,59,6.42,6.35,3.96,3528
1,Premium,F,VS1,60,6.53,6.48,3.58,3528
1,Premium,F,VS1,60,6.53,6.48,3.85,3528
1,Premium,F,VS1,55,6.39,6.34,3.99,3528
1.01,Ideal,F,VS1,59,6.44,6.42,3.97,3528
1.05,Premium,E,VS2,58,6.54,6.5,4.05,3528
1.5,Fair,F,SI2,57,7.15,7.09,4.65,3528
1,Ideal,F,VS1,55,6.42,6.39,3.95,3528
1.5,Premium,F,SI2,58,7.31,7.24,4.54,3528
1.5,Premium,I,SI2,61,7.24,7.19,4.49,3528
1.34,Ideal,G,SI2,56,7.11,7.13,4.35,3529
1.01,Ideal,G,VS1,55,6.6,6.53,3.88,3529.5
1.32,Ideal,I,VS2,59,7.03,7.06,4.35,3529.5
1.14,Ideal,H,VS2,55,6.71,6.72,4.16,3529.5
1.01,Good,F,VVS2,60,6.36,6.31,4.03,3529.5
1.22,Premium,F,SI1,59,6.83,6.78,4.25,3529.5
1.01,Premium,G,VS1,58,6.52,6.49,3.95,3529.5
1.01,Premium,F,VS2,59,6.41,6.32,3.98,3531
1.51,Good,J,VS2,58,7.27,7.24,4.64,3531
1.05,Premium,G,VS1,58,6.51,6.48,4,3531.5
1.05,Ideal,G,VS1,56,6.53,6.47,4.03,3531.5
1.03,Ideal,G,VS2,55,6.49,6.54,4.01,3532
1.19,Good,E,VS2,60,7,6.9,3.99,3532
1.13,Ideal,D,SI1,56,6.69,6.74,4.12,3533
1.55,Very Good,H,SI1,57,7.35,7.31,4.64,3533
1.55,Very Good,H,SI1,57,7.35,7.31,4.64,3533
1.02,Good,F,VS1,57,6.35,6.39,4.06,3534
1.7,Ideal,H,I1,54.1,7.58,7.63,4.77,3534
1.01,Premium,G,VVS2,59,6.42,6.36,3.91,3534
1.07,Ideal,G,VS1,55,6.55,6.59,4.06,3534.5
2.25,Fair,G,I1,58,8.15,8.12,5.28,3534.5
1.05,Ideal,G,VS2,54,6.53,6.55,4.07,3535
1,Premium,F,VS2,59,6.54,6.51,3.85,3536
1.2,Very Good,H,VS2,60,6.72,6.78,4.22,3536
1.62,Very Good,J,SI2,60,7.52,7.64,4.67,3536
1.2,Ideal,H,VS2,57,6.75,6.79,4.25,3536
1.2,Ideal,H,VS2,59,6.84,6.89,4.2,3536
1.16,Ideal,G,VS2,57,6.66,6.72,4.17,3537
1.16,Premium,G,VS2,60,6.85,6.88,4.11,3537
1.1,Ideal,G,VS2,54,6.59,6.62,4.12,3537
1.2,Ideal,E,SI1,55,6.78,6.84,4.24,3537
1.06,Ideal,F,VS2,57,6.57,6.6,4.02,3537.5
1.17,Very Good,G,VS2,57,6.73,6.71,4.25,3538
1.08,Fair,G,VS1,60,6.44,6.41,4.16,3538
1.5,Premium,D,SI2,59,7.54,7.46,4.47,3538
1.02,Ideal,G,VS1,56,6.51,6.54,3.99,3538.5
1.02,Ideal,F,VS2,55,6.47,6.5,4.02,3539
1.09,Ideal,G,VS1,57,6.69,6.73,4.06,3539
1.06,Very Good,E,VS2,60,6.57,6.53,4,3539.5
1.32,Ideal,I,VS2,57,7.02,7.07,4.28,3539.5
1.01,Very Good,F,VS1,60,6.36,6.41,3.99,3539.5
1.2,Ideal,I,VVS2,55,6.75,6.79,4.26,3539.5
1.14,Ideal,H,SI1,56,6.68,6.72,4.14,3539.5
1.14,Ideal,H,SI1,56,6.72,6.74,4.14,3539.5
1.14,Ideal,H,SI1,55,6.72,6.75,4.14,3539.5
1.14,Premium,G,VS2,57,6.79,6.73,4.12,3539.5
1.32,Ideal,F,SI1,56,7.11,7.05,4.36,3539.5
1.08,Premium,F,VS2,59,6.55,6.47,4.09,3539.5
1.14,Premium,G,VS2,60,6.71,6.68,4.11,3539.5
1.2,Very Good,I,VVS1,56,6.7,6.74,4.21,3540
1.29,Ideal,G,VS2,57,6.91,6.89,4.34,3540
1.59,Fair,I,SI2,58,7.28,7.24,4.73,3540
1.09,Ideal,G,VS2,55,6.61,6.56,4.11,3540.5
1,Fair,D,VS1,60,6.77,6.71,4.38,3541.5
1,Good,E,VVS1,62,6.29,6.26,4.02,3542
1.4,Ideal,H,SI2,56,7.18,7.23,4.41,3542
1.22,Ideal,E,SI1,56,6.88,6.92,4.26,3542.5
1.21,Ideal,I,VVS1,55,6.88,6.8,4.21,3543
1.48,Premium,I,SI2,58,7.39,7.32,4.51,3543
1.3,Very Good,I,VS2,56,6.98,7.04,4.33,3543.5
1.18,Ideal,D,SI1,55,6.76,6.8,4.2,3543.5
1.33,Ideal,H,SI1,56,6.99,7.04,4.4,3544
1.21,Ideal,E,SI1,56,6.87,6.81,4.26,3544
1.72,Premium,F,I1,59,7.8,7.71,4.69,3544.5
1.23,Premium,H,VS2,57,6.84,6.77,4.28,3544.5
1.33,Premium,I,VS1,58,7.06,7.02,4.33,3545
1.33,Good,I,VS1,56,6.96,6.92,4.42,3545
